"","ref_date","age.group","indicators","characteristics","uom","value"
"1",2015,"12 to 17 years","Perceived health, very good or excellent","Number of persons","Number",1625500
"2",2016,"12 to 17 years","Perceived health, very good or excellent","Number of persons","Number",1678200
"3",2017,"12 to 17 years","Perceived health, very good or excellent","Number of persons","Number",1690000
"4",2018,"12 to 17 years","Perceived health, very good or excellent","Number of persons","Number",1649700
"5",2019,"12 to 17 years","Perceived health, very good or excellent","Number of persons","Number",1726900
"6",2020,"12 to 17 years","Perceived health, very good or excellent","Number of persons","Number",1810800
"7",2021,"12 to 17 years","Perceived health, very good or excellent","Number of persons","Number",1727900
"8",2022,"12 to 17 years","Perceived health, very good or excellent","Number of persons","Number",1829800
"9",2015,"12 to 17 years","Perceived health, very good or excellent","Percent","Percent",72.9
"10",2016,"12 to 17 years","Perceived health, very good or excellent","Percent","Percent",75.3
"11",2017,"12 to 17 years","Perceived health, very good or excellent","Percent","Percent",75.7
"12",2018,"12 to 17 years","Perceived health, very good or excellent","Percent","Percent",73.4
"13",2019,"12 to 17 years","Perceived health, very good or excellent","Percent","Percent",75.7
"14",2020,"12 to 17 years","Perceived health, very good or excellent","Percent","Percent",76.5
"15",2021,"12 to 17 years","Perceived health, very good or excellent","Percent","Percent",71.9
"16",2022,"12 to 17 years","Perceived health, very good or excellent","Percent","Percent",74.8
"17",2015,"12 to 17 years","Perceived health, fair or poor","Number of persons","Number",76400
"18",2016,"12 to 17 years","Perceived health, fair or poor","Number of persons","Number",80700
"19",2017,"12 to 17 years","Perceived health, fair or poor","Number of persons","Number",85100
"20",2018,"12 to 17 years","Perceived health, fair or poor","Number of persons","Number",77300
"21",2019,"12 to 17 years","Perceived health, fair or poor","Number of persons","Number",89400
"22",2020,"12 to 17 years","Perceived health, fair or poor","Number of persons","Number",75000
"23",2021,"12 to 17 years","Perceived health, fair or poor","Number of persons","Number",118800
"24",2022,"12 to 17 years","Perceived health, fair or poor","Number of persons","Number",111100
"25",2015,"12 to 17 years","Perceived health, fair or poor","Percent","Percent",3.4
"26",2016,"12 to 17 years","Perceived health, fair or poor","Percent","Percent",3.6
"27",2017,"12 to 17 years","Perceived health, fair or poor","Percent","Percent",3.8
"28",2018,"12 to 17 years","Perceived health, fair or poor","Percent","Percent",3.4
"29",2019,"12 to 17 years","Perceived health, fair or poor","Percent","Percent",3.9
"30",2020,"12 to 17 years","Perceived health, fair or poor","Percent","Percent",3.2
"31",2021,"12 to 17 years","Perceived health, fair or poor","Percent","Percent",4.9
"32",2022,"12 to 17 years","Perceived health, fair or poor","Percent","Percent",4.5
"33",2015,"12 to 17 years","Perceived mental health, very good or excellent","Number of persons","Number",1664300
"34",2016,"12 to 17 years","Perceived mental health, very good or excellent","Number of persons","Number",1654500
"35",2017,"12 to 17 years","Perceived mental health, very good or excellent","Number of persons","Number",1613300
"36",2018,"12 to 17 years","Perceived mental health, very good or excellent","Number of persons","Number",1594500
"37",2019,"12 to 17 years","Perceived mental health, very good or excellent","Number of persons","Number",1598100
"38",2020,"12 to 17 years","Perceived mental health, very good or excellent","Number of persons","Number",1570300
"39",2021,"12 to 17 years","Perceived mental health, very good or excellent","Number of persons","Number",1448100
"40",2022,"12 to 17 years","Perceived mental health, very good or excellent","Number of persons","Number",1417900
"41",2015,"12 to 17 years","Perceived mental health, very good or excellent","Percent","Percent",77.9
"42",2016,"12 to 17 years","Perceived mental health, very good or excellent","Percent","Percent",77.4
"43",2017,"12 to 17 years","Perceived mental health, very good or excellent","Percent","Percent",76
"44",2018,"12 to 17 years","Perceived mental health, very good or excellent","Percent","Percent",74.1
"45",2019,"12 to 17 years","Perceived mental health, very good or excellent","Percent","Percent",73
"46",2020,"12 to 17 years","Perceived mental health, very good or excellent","Percent","Percent",68.6
"47",2021,"12 to 17 years","Perceived mental health, very good or excellent","Percent","Percent",62.3
"48",2022,"12 to 17 years","Perceived mental health, very good or excellent","Percent","Percent",58.1
"49",2015,"12 to 17 years","Perceived mental health, fair or poor","Number of persons","Number",88500
"50",2016,"12 to 17 years","Perceived mental health, fair or poor","Number of persons","Number",94200
"51",2017,"12 to 17 years","Perceived mental health, fair or poor","Number of persons","Number",123500
"52",2018,"12 to 17 years","Perceived mental health, fair or poor","Number of persons","Number",144700
"53",2019,"12 to 17 years","Perceived mental health, fair or poor","Number of persons","Number",132000
"54",2020,"12 to 17 years","Perceived mental health, fair or poor","Number of persons","Number",190200
"55",2021,"12 to 17 years","Perceived mental health, fair or poor","Number of persons","Number",276900
"56",2022,"12 to 17 years","Perceived mental health, fair or poor","Number of persons","Number",358600
"57",2015,"12 to 17 years","Perceived mental health, fair or poor","Percent","Percent",4.1
"58",2016,"12 to 17 years","Perceived mental health, fair or poor","Percent","Percent",4.4
"59",2017,"12 to 17 years","Perceived mental health, fair or poor","Percent","Percent",5.8
"60",2018,"12 to 17 years","Perceived mental health, fair or poor","Percent","Percent",6.7
"61",2019,"12 to 17 years","Perceived mental health, fair or poor","Percent","Percent",6
"62",2020,"12 to 17 years","Perceived mental health, fair or poor","Percent","Percent",8.3
"63",2021,"12 to 17 years","Perceived mental health, fair or poor","Percent","Percent",11.9
"64",2022,"12 to 17 years","Perceived mental health, fair or poor","Percent","Percent",14.7
"65",2015,"12 to 17 years","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number",270000
"66",2016,"12 to 17 years","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number",280200
"67",2017,"12 to 17 years","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number",257600
"68",2018,"12 to 17 years","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number",309200
"69",2019,"12 to 17 years","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number",314200
"70",2020,"12 to 17 years","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number",289600
"71",2021,"12 to 17 years","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number",348500
"72",2022,"12 to 17 years","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number",390100
"73",2015,"12 to 17 years","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent",12.1
"74",2016,"12 to 17 years","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent",12.6
"75",2017,"12 to 17 years","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent",11.6
"76",2018,"12 to 17 years","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent",13.8
"77",2019,"12 to 17 years","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent",13.8
"78",2020,"12 to 17 years","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent",12.3
"79",2021,"12 to 17 years","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent",14.5
"80",2022,"12 to 17 years","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent",16.4
"81",2015,"12 to 17 years","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Number of persons","Number",437000
"82",2016,"12 to 17 years","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Number of persons","Number",496600
"83",2017,"12 to 17 years","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Number of persons","Number",506900
"84",2018,"12 to 17 years","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Number of persons","Number",428900
"85",2019,"12 to 17 years","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Number of persons","Number",456900
